canonical_objective_id,subject,domain,level_band,learning_map_objective_id,textbook_source,textbook_objective_or_card_ref,standard_outcome_id,alignment_strength,alignment_note,evidence_needed_for_progress
"co.math.lp.count-represent-to-100.001","maths","number_sense","lower-primary","obj.math.foundation.number-sense.count-to-100.001","src.textbook.math.mph.1b","chapters/chapter17-numbers-to-100; math-concepts.jsonl","std.sgmoe.math.p1.whole-numbers.lower.001","strong","MPH 1B numbers to 100 maps directly to Singapore P1 whole numbers; 1A counting to 20 is the base and 1B extends range and representation.","Observed child counts reads writes or represents a number to 100 with materials or symbols."
"co.math.lp.count-represent-to-100.001","maths","number_sense","lower-primary","obj.math.foundation.number-sense.count-to-40.001","src.textbook.math.mph.1b","chapters/chapter10-numbers-to-40","std.ibpyp.math.phase2.number.lower.001","strong","PYP Phase 2 number supports modeling numbers to hundreds or beyond; alignment is strong for representation and comparison but evidence must stay concrete.","Child builds draws or explains quantity with range and support level recorded."
"co.math.lp.place-value-tens-ones.001","maths","place_value","lower-primary","obj.math.foundation.place-value.tens-ones-to-100.001","src.textbook.math.mph.1b","chapters/chapter17-numbers-to-100","std.sgmoe.math.p1.whole-numbers.lower.001","strong","Singapore P1 explicitly includes tens and ones for numbers up to 100; 1A teen place value grows into 1B two-digit place value.","Observed child decomposes a two-digit number into tens and ones."
"co.math.lp.place-value-tens-ones.001","maths","place_value","lower-primary","obj.math.foundation.place-value.tens-ones-to-40.001","src.textbook.math.mph.1b","chapters/chapter10-numbers-to-40","std.ibpyp.math.phase2.number.lower.001","strong","PYP Phase 2 place-value modeling aligns with 1B tens-and-ones representations.","Child explains or models tens and ones using base-ten materials drawing or place-value chart."
"co.math.lp.compare-order-patterns.001","maths","comparison_patterns","lower-primary","obj.math.foundation.comparison.compare-order-to-40.001","src.textbook.math.mph.1b","chapters/chapter10-numbers-to-40","std.sgmoe.math.p1.whole-numbers.lower.001","strong","Singapore P1 includes comparing ordering and number sequences; 1A comparison extends into 1B numbers to 40 and 100.","Observed child compares orders or continues pattern and explains strategy."
"co.math.lp.compare-order-patterns.001","maths","comparison_patterns","lower-primary","obj.math.foundation.number-sense.count-to-100.001","src.textbook.math.mph.1b","chapters/chapter17-numbers-to-100","std.ibpyp.math.phase2.pattern-function.lower.001","moderate","PYP pattern/function supports number patterns and inverse relationships; alignment is moderate because MPH 1B patterns are embedded in number work.","Child states the pattern rule or inverse relationship with representation."
"co.math.lp.part-whole-number-bonds.001","maths","number_bonds","foundation-to-lower-primary","obj.math.foundation.number-bonds.part-whole.001","src.textbook.math.mph.1a.pilot","units/chapter2-number-bonds","std.ibpyp.math.phase1.number.lower.001","strong","PYP Phase 1 number supports combining and partitioning; this 1A objective remains necessary for 1B operations.","Observed child composes decomposes or checks whole and parts."
"co.math.lp.part-whole-number-bonds.001","maths","number_bonds","foundation-to-lower-primary","obj.math.foundation.number-bonds.complete-within-10.001","src.textbook.math.mph.1a.pilot","units/chapter2-number-bonds","std.sgmoe.math.primary.problem-solving.lower.001","moderate","Singapore framework emphasizes representations and strategy explanation but does not prescribe number bonds as the only model.","Child uses a number bond or equivalent model to explain a calculation or relationship."
"co.math.lp.add-subtract-within-20.001","maths","operations","foundation-to-lower-primary","obj.math.foundation.operations.add-subtract-within-20.001","src.textbook.math.mph.1a.pilot","units/chapter8-addition-and-subtraction-within-20","std.sgmoe.math.p1.add-subtract.lower.001","strong","Singapore P1 includes mental calculation within 20 and addition/subtraction within 100; 1A within-20 strategy remains prerequisite for 1B.","Observed child solves within 20 and shows strategy or check."
"co.math.lp.add-subtract-within-20.001","maths","operations","foundation-to-lower-primary","obj.math.foundation.reasoning.choose-strategy-within-20.001","src.textbook.math.mph.1a.pilot","units/chapter8-addition-and-subtraction-within-20","std.ibpyp.math.phase1.number.lower.001","strong","PYP Phase 1 number includes joining and taking away plus combining and partitioning; strong fit for early operation evidence.","Child uses objects drawings number path or number bonds to explain an addition or subtraction."
