canonical_objective_id,subject,domain,age_or_level_band,textbook_objective_id,standard_outcome_id,alignment_strength,alignment_note,evidence_needed_for_progress
fco.eng.listen-respond.001,english,listening,Foundation,obj.lang.english.foundation.listening-action.001,std.china2022.eng.prep.listen-speak.001,strong,CPP listening action maps directly to early visual-listening-speaking guidance; keep evidence concrete and prompt-aware.,Real observation of child responding to short English prompts with support level recorded.
fco.eng.listen-respond.001,english,listening,Foundation,obj.lang.english.foundation.listening-action.001,std.sgmoe.eng.primary.lower.listening-viewing.001,strong,Singapore lower-primary listening/viewing progression supports attentive response and understanding.,Observation of attention response and comprehension in a short context.
fco.eng.name-vocabulary.001,english,vocabulary,Foundation,obj.lang.english.foundation.vocabulary-in-context.001,std.china2022.eng.level1.vocabulary-grammar.001,strong,Textbook topic vocabulary aligns with contextual word sound-form-meaning-use guidance.,Evidence that the child points repeats or names words in context without treating repetition as mastery.
fco.eng.name-vocabulary.001,english,vocabulary,Foundation,obj.lang.english.foundation.speaking-naming.001,std.ibpyp.lang.phase1.oral.001,strong,PYP oral language Phase 1 supports naming environment self family and interests through play.,Observation of naming or communicating needs/ideas with objects or pictures.
fco.eng.use-sentence-frame.001,english,sentence_patterns,Foundation,obj.lang.english.foundation.sentence-patterns.001,std.sgmoe.eng.primary.lower.grammar-vocab.001,strong,Short reusable frames align with lower-primary grammar and vocabulary in meaningful contexts.,Recorded child production showing whether frame is repeated or adapted.
fco.eng.identity-and-self.001,english,speaking,Foundation,obj.lang.english.foundation.identity-description.001,std.ibpyp.lang.phase1.oral.001,strong,Self family and interests are explicitly relevant to PYP Phase 1 oral language and CPP Unit 1.,A supported or independent self-description sample with prompts recorded.
fco.eng.preferences-and-feelings.001,english,speaking_interaction,Foundation,obj.lang.english.foundation.preference-expression.001,std.china2022.eng.level1.language-skills.001,strong,Level 1 expressive skills include simple feelings preferences and personal/family information.,Conversation evidence of preference or feeling expression with source context.
fco.eng.routine-and-action.001,english,speaking,Foundation,obj.lang.english.foundation.routine-description.001,std.china2022.eng.level1.language-skills.001,moderate,CPP routine language is narrower than the broader standard but fits personal daily life expression.,Observed routine statement or sequence with visual support and support level.
fco.eng.interaction-turntaking.001,english,interaction,Foundation,obj.lang.english.foundation.interaction-oracy.001,std.sgmoe.eng.primary.lower.speaking-representing.001,strong,Interaction and respectful communication are central in Singapore speaking/representing and CPP functions.,Observation of turn-taking answering asking or repair phrase in a short exchange.
fco.eng.visual-reading-readiness.001,english,reading_readiness,Foundation,obj.lang.english.foundation.reading-readiness.001,std.ibpyp.lang.phase1.visual.001,moderate,CPP reading readiness and PYP visual language both use labels signs images and meaning-making; independent reading is not assumed.,Evidence of matching labels pictures or signs and explaining the match.
fco.eng.writing-readiness.001,english,writing_readiness,Foundation,obj.lang.english.foundation.writing-readiness.001,std.sgmoe.eng.primary.lower.writing-representing.001,moderate,CPP tracing/copying/labeling aligns with lower-primary writing readiness but needs direct handwriting or labeling evidence.,Work sample or observation showing copied traced labeled or selected written output.
fco.eng.home-practice-evidence.001,english,learning_habits,Foundation,obj.lang.english.foundation.home-practice-evidence.001,std.china2022.eng.level1.learning-strategy.001,moderate,Home evidence supports participation reflection and learning strategy development but is family-operational not a formal standard outcome.,Observation record with child action words and parent support level.
fco.math.count-represent.001,maths,number_sense,Foundation,obj.math.foundation.number-sense.count-to-10.001,std.sgmoe.math.p1.whole-numbers.001,strong,MPH Chapter 1 counting and representation align strongly with Singapore P1 whole-number content.,Child counts concrete objects with one-to-one correspondence and states total.
fco.math.count-represent.001,maths,number_sense,Foundation,obj.math.foundation.representation.quantity-symbol-word.001,std.ibpyp.math.phase1.number.001,strong,PYP Phase 1 number emphasizes concrete and symbolic representation of numbers.,Evidence of matching quantity numeral and number word or symbol.
fco.math.compare-order.001,maths,comparison,Foundation,obj.math.foundation.comparison.compare-sets.001,std.china2022.math.stage1.number-operations.001,strong,China first-stage number requirements include comparing quantities and symbolic relationships.,Observation of comparing real sets or numbers with strategy noted.
fco.math.compare-order.001,maths,comparison,Foundation,obj.math.foundation.comparison.compare-order-to-20.001,std.sgmoe.math.p1.whole-numbers.001,strong,Singapore P1 includes comparing and ordering numbers and ordinal numbers.,Evidence of ordering or comparing within the worked range without overclaiming transfer.
fco.math.part-whole.001,maths,number_bonds,Foundation,obj.math.foundation.number-bonds.part-whole.001,std.ibpyp.math.phase1.number.001,strong,PYP Phase 1 number includes partitioning and combining; MPH number bonds give concrete diagrams.,Observed split/combine action with child explaining whole and parts.
fco.math.add-subtract.001,maths,operations,Foundation,obj.math.foundation.operations.add-within-10.001,std.sgmoe.math.p1.add-subtract.001,strong,MPH addition and Singapore P1 addition/subtraction content align directly.,Child combines quantities and connects action to addition language or equation.
fco.math.add-subtract.001,maths,operations,Foundation,obj.math.foundation.operations.subtract-within-10.001,std.sgmoe.math.p1.add-subtract.001,strong,MPH subtraction and Singapore P1 subtraction content align directly.,Child acts out take-away or count-back and explains what remains.
fco.math.operation-choice-story.001,maths,problem_solving,Foundation,obj.math.foundation.problem-solving.mixed-add-subtract-stories.001,std.sgmoe.math.primary.problem-solving-assessment.001,moderate,MPH story problems align with Singapore problem-solving emphasis; operation choice needs real evidence.,Observation of child choosing operation from a story and explaining why.
fco.math.shape-attributes.001,maths,geometry,Foundation,obj.math.foundation.geometry.name-2d-shapes.001,std.sgmoe.math.p1.measure-geometry.001,strong,MPH shapes and Singapore P1 2D shape content align directly.,Child names sorts or describes shapes across different examples.
fco.math.shape-attributes.001,maths,geometry,Foundation,obj.math.foundation.geometry.describe-shape-attributes.001,std.ibpyp.math.phase1.shape-space.001,strong,PYP Phase 1 emphasizes describing and sorting shapes by characteristics.,Observation of child using attribute language such as sides corners straight or curved.
fco.math.patterns.001,maths,patterns,Foundation,obj.math.foundation.patterns.shape-patterns.001,std.ibpyp.math.phase1.pattern-data.001,strong,MPH shape patterns align with PYP Phase 1 pattern identification extension and creation.,Evidence of extending or creating pattern and saying the rule.
fco.math.position-language.001,maths,position,Foundation,obj.math.foundation.position.ordinal-numbers.001,std.sgmoe.math.p1.whole-numbers.001,moderate,Singapore P1 includes ordinal numbers; MPH adds positional language beyond ordinal sequence.,Observation of ordinal/position language with a clear start point or reference.
fco.math.position-language.001,maths,position,Foundation,obj.math.foundation.position.spatial-language.001,std.ibpyp.math.phase1.shape-space.001,strong,PYP shape/space Phase 1 directly includes position and direction language in play and games.,Evidence of placing or describing objects using position words.
fco.math.measure-length.001,maths,measurement,Foundation,obj.math.foundation.measurement.compare-lengths.001,std.china2022.math.stage1.geometry-measure-data.001,strong,China first-stage goals include length measurement experience and early measurement sense.,Observation of comparing length or height with fair alignment noted.
fco.math.measure-length.001,maths,measurement,Foundation,obj.math.foundation.measurement.nonstandard-length.001,std.ibpyp.math.phase1.measurement.001,strong,PYP Phase 1 measurement includes comparing and non-standard units in authentic contexts.,Evidence of using repeated equal units without gaps or overlaps.
fco.math.explain-thinking.001,maths,mathematical_reasoning,Foundation,obj.math.foundation.problem-solving.explain-strategy.001,std.sgmoe.math.primary.problem-solving-assessment.001,strong,Singapore assessment emphasizes reasoning communication and strategies; this supports progress evidence quality.,Child explains or shows strategy with objects gestures drawing or words.
fco.math.patterns.001,maths,data,Foundation,obj.math.foundation.patterns.number-patterns-within-10.001,std.ibpyp.math.phase1.pattern-data.001,weak,MPH 1A has limited formal data; PYP and China support sorting and simple representation as adjacent foundation goals.,Only use after real sorting or simple graph evidence is collected.

